date,city,precipitation,month,year
6/12/2021,NYC,0,6,2021
6/13/2021,NYC,0,6,2021
6/14/2021,NYC,0.06,6,2021
6/15/2021,NYC,0.07,6,2021
6/16/2021,NYC,0,6,2021
6/17/2021,NYC,0,6,2021
6/18/2021,NYC,0,6,2021
6/19/2021,NYC,0.05,6,2021
6/20/2021,NYC,0,6,2021
6/21/2021,NYC,0,6,2021
6/22/2021,NYC,0.2,6,2021
6/23/2021,NYC,0,6,2021
6/24/2021,NYC,0,6,2021
6/25/2021,NYC,0,6,2021
6/26/2021,NYC,0,6,2021
6/27/2021,NYC,0,6,2021
6/28/2021,NYC,0,6,2021
6/29/2021,NYC,0,6,2021
6/30/2021,NYC,0,6,2021
7/1/2021,NYC,0.54,7,2021
7/2/2021,NYC,0.38,7,2021
7/3/2021,NYC,1.1,7,2021
7/4/2021,NYC,0,7,2021
7/5/2021,NYC,0,7,2021
7/6/2021,NYC,0.39,7,2021
7/7/2021,NYC,0,7,2021
7/8/2021,NYC,0.32,7,2021
7/9/2021,NYC,0.99,7,2021
7/10/2021,NYC,0,7,2021
7/11/2021,NYC,0,7,2021
7/12/2021,NYC,0.06,7,2021
7/13/2021,NYC,0,7,2021
7/14/2021,NYC,0.01,7,2021
7/15/2021,NYC,0,7,2021
7/16/2021,NYC,0,7,2021
7/17/2021,NYC,0.28,7,2021
7/18/2021,NYC,0.02,7,2021
7/19/2021,NYC,0,7,2021
7/20/2021,NYC,0,7,2021
7/21/2021,NYC,0.89,7,2021
7/22/2021,NYC,0,7,2021
7/23/2021,NYC,0.09,7,2021
7/24/2021,NYC,0,7,2021
7/25/2021,NYC,0.46,7,2021
7/26/2021,NYC,0,7,2021
7/27/2021,NYC,0,7,2021
7/28/2021,NYC,0.09,7,2021
7/29/2021,NYC,0.28,7,2021
7/30/2021,NYC,0,7,2021
7/31/2021,NYC,0,7,2021
8/1/2021,NYC,0.04,8,2021
8/2/2021,NYC,0,8,2021
8/3/2021,NYC,0,8,2021
8/4/2021,NYC,0,8,2021
8/5/2021,NYC,0,8,2021
8/6/2021,NYC,0,8,2021
8/7/2021,NYC,0,8,2021
8/8/2021,NYC,0.56,8,2021
8/9/2021,NYC,0.04,8,2021
8/10/2021,NYC,0.67,8,2021
8/11/2021,NYC,0,8,2021
8/12/2021,NYC,0,8,2021
8/13/2021,NYC,0,8,2021
8/14/2021,NYC,0,8,2021
8/15/2021,NYC,0,8,2021
8/16/2021,NYC,0,8,2021
8/17/2021,NYC,0,8,2021
8/18/2021,NYC,0,8,2021
8/19/2021,NYC,0.03,8,2021
8/20/2021,NYC,0,8,2021
8/21/2021,NYC,2.13,8,2021
8/22/2021,NYC,2.26,8,2021
8/23/2021,NYC,0.73,8,2021
8/24/2021,NYC,0,8,2021
8/25/2021,NYC,0,8,2021
8/26/2021,NYC,0,8,2021
8/27/2021,NYC,0.03,8,2021
8/28/2021,NYC,0.89,8,2021
8/29/2021,NYC,0,8,2021
8/30/2021,NYC,0,8,2021
8/31/2021,NYC,0,8,2021
9/1/2021,NYC,2.56,9,2021
9/2/2021,NYC,0.21,9,2021
9/3/2021,NYC,0,9,2021
9/4/2021,NYC,0,9,2021
9/5/2021,NYC,0,9,2021
9/6/2021,NYC,0,9,2021
9/7/2021,NYC,0,9,2021
9/8/2021,NYC,0,9,2021
9/9/2021,NYC,0.37,9,2021
9/10/2021,NYC,0,9,2021
9/11/2021,NYC,0,9,2021
9/12/2021,NYC,0,9,2021
9/13/2021,NYC,0.18,9,2021
9/14/2021,NYC,0,9,2021
9/15/2021,NYC,0,9,2021
9/16/2021,NYC,0,9,2021
9/17/2021,NYC,0,9,2021
9/18/2021,NYC,0,9,2021
9/19/2021,NYC,0,9,2021
9/20/2021,NYC,0,9,2021
9/21/2021,NYC,0.03,9,2021
9/22/2021,NYC,0,9,2021
9/23/2021,NYC,0.66,9,2021
9/24/2021,NYC,0.45,9,2021
9/25/2021,NYC,0,9,2021
9/26/2021,NYC,0,9,2021
9/27/2021,NYC,0,9,2021
9/28/2021,NYC,0.09,9,2021
9/29/2021,NYC,0,9,2021
9/30/2021,NYC,0,9,2021
10/1/2021,NYC,0,10,2021
10/2/2021,NYC,0,10,2021
10/3/2021,NYC,0,10,2021
10/4/2021,NYC,0.02,10,2021
10/5/2021,NYC,0,10,2021
10/6/2021,NYC,0,10,2021
10/7/2021,NYC,0,10,2021
10/8/2021,NYC,0,10,2021
10/9/2021,NYC,0,10,2021
10/10/2021,NYC,0.1,10,2021
10/11/2021,NYC,0,10,2021
10/12/2021,NYC,0,10,2021
10/13/2021,NYC,0,10,2021
10/14/2021,NYC,0,10,2021
10/15/2021,NYC,0,10,2021
10/16/2021,NYC,0.16,10,2021
10/17/2021,NYC,0,10,2021
10/18/2021,NYC,0,10,2021
10/19/2021,NYC,0,10,2021
10/20/2021,NYC,0,10,2021
10/21/2021,NYC,0,10,2021
10/22/2021,NYC,0,10,2021
10/23/2021,NYC,0.14,10,2021
10/24/2021,NYC,0.01,10,2021
10/25/2021,NYC,0.02,10,2021
10/26/2021,NYC,3.24,10,2021
10/27/2021,NYC,0.15,10,2021
10/28/2021,NYC,0,10,2021
10/29/2021,NYC,0.38,10,2021
10/30/2021,NYC,0.03,10,2021
10/31/2021,NYC,0.11,10,2021
11/1/2021,NYC,0,11,2021
11/2/2021,NYC,0.01,11,2021
11/3/2021,NYC,0,11,2021
11/4/2021,NYC,0,11,2021
11/5/2021,NYC,0,11,2021
11/6/2021,NYC,0,11,2021
11/7/2021,NYC,0,11,2021
11/8/2021,NYC,0,11,2021
11/9/2021,NYC,0,11,2021
11/10/2021,NYC,0,11,2021
11/11/2021,NYC,0,11,2021
11/12/2021,NYC,0.21,11,2021
11/13/2021,NYC,0.14,11,2021
11/14/2021,NYC,0.02,11,2021
11/15/2021,NYC,0,11,2021
11/16/2021,NYC,0,11,2021
11/17/2021,NYC,0,11,2021
11/18/2021,NYC,0.06,11,2021
11/19/2021,NYC,0.06,11,2021
11/20/2021,NYC,0,11,2021
11/21/2021,NYC,0,11,2021
11/22/2021,NYC,0.04,11,2021
11/23/2021,NYC,0,11,2021
11/24/2021,NYC,0,11,2021
11/25/2021,NYC,0,11,2021
11/26/2021,NYC,0.13,11,2021
11/27/2021,NYC,0,11,2021
11/28/2021,NYC,0,11,2021
11/29/2021,NYC,0,11,2021
11/30/2021,NYC,0,11,2021
12/1/2021,NYC,0,12,2021
12/2/2021,NYC,0.03,12,2021
12/3/2021,NYC,0,12,2021
12/4/2021,NYC,0,12,2021
12/5/2021,NYC,0,12,2021
12/6/2021,NYC,0.54,12,2021
12/7/2021,NYC,0,12,2021
12/8/2021,NYC,0.07,12,2021
12/9/2021,NYC,0,12,2021
12/10/2021,NYC,0,12,2021
12/11/2021,NYC,0.16,12,2021
12/12/2021,NYC,0,12,2021
12/13/2021,NYC,0,12,2021
12/14/2021,NYC,0,12,2021
12/15/2021,NYC,0,12,2021
12/16/2021,NYC,0,12,2021
12/17/2021,NYC,0,12,2021
12/18/2021,NYC,0.06,12,2021
12/19/2021,NYC,0.02,12,2021
12/20/2021,NYC,0,12,2021
12/21/2021,NYC,0,12,2021
12/22/2021,NYC,0.11,12,2021
12/23/2021,NYC,0,12,2021
12/24/2021,NYC,0.01,12,2021
12/25/2021,NYC,0.16,12,2021
12/26/2021,NYC,0,12,2021
12/27/2021,NYC,0.03,12,2021
12/28/2021,NYC,0.06,12,2021
12/29/2021,NYC,0.35,12,2021
12/30/2021,NYC,0.09,12,2021
12/31/2021,NYC,0.01,12,2021
1/1/2022,NYC,1.22,1,2022
1/2/2022,NYC,0.03,1,2022
1/3/2022,NYC,0,1,2022
1/4/2022,NYC,0,1,2022
1/5/2022,NYC,0.29,1,2022
1/6/2022,NYC,0,1,2022
1/7/2022,NYC,0.31,1,2022
1/8/2022,NYC,0,1,2022
